CellID,X_centroid,Y_centroid,phenotype_key,color
56192,3523.9657794676805,4084.2737642585553,regulatory T cells,#0072B2
56246,3587.1235294117646,3889.855882352941,regulatory T cells,#0072B2
56270,3676.918032786885,4063.3333333333335,regulatory T cells,#0072B2
56353,3158.0925266903914,4189.9181494661925,M2 macrophages,#66A61E
56403,3845.9508196721313,4312.960655737705,M2 macrophages,#66A61E
56558,3468.599348534202,3970.7394136807816,regulatory T cells,#0072B2
56571,3913.314741035857,4101.689243027889,regulatory T cells,#0072B2
56606,3524.1005586592178,4272.106145251397,M2 macrophages,#66A61E
56703,3296.1057268722466,4341.01321585903,dendritic cells,#66A61E
56848,3449.227424749164,3666.52508361204,dendritic cells,#66A61E
56884,3580.9435897435897,3796.671794871794,stromal cells,#666666
57207,3604.8453608247423,4170.670103092783,M2 macrophages,#66A61E
57301,3739.1310344827584,4052.1413793103447,regulatory T cells,#0072B2
57337,3631.759259259259,3848.933333333333,endothelial cells,#666666
57395,3665.417910447761,4321.8432835820895,M2 macrophages,#66A61E
57441,3736.091176470589,4313.617647058823,M2 macrophages,#66A61E
57497,3741.415300546448,4239.464480874317,M2 macrophages,#66A61E
57651,3496.714285714286,3922.357142857143,regulatory T cells,#0072B2
57781,3517.692028985507,3930.847826086957,CD4+ T cells,#0072B2
57850,3340.7600896860986,3786.800448430493,regulatory T cells,#0072B2
57921,3162.243161094225,4236.823708206687,regulatory T cells,#0072B2
58007,3183.468531468532,4173.447552447553,dendritic cells,#66A61E
58092,3638.9736842105262,4343.302631578948,dendritic cells,#66A61E
58167,3795.294117647059,3990.605042016807,endothelial cells,#666666
58195,3598.733333333333,3873.088888888889,endothelial cells,#666666
58236,3754.9903846153848,3735.730769230769,M2 macrophages,#66A61E
58391,3636.6214285714286,4001.792857142857,regulatory T cells,#0072B2
58507,3728.0781758957655,4281.338762214984,regulatory T cells,#0072B2
58564,3228.614942528736,4334.879310344828,M2 macrophages,#66A61E
58572,3409.9657794676805,4131.927756653992,M2 macrophages,#66A61E
58576,3658.633333333333,3892.7066666666665,CD4+ T cells,#0072B2
58606,3594.003663003663,4146.875457875458,regulatory T cells,#0072B2
58723,3120.569014084507,4100.391549295775,dendritic cells,#66A61E
58778,3286.089700996678,4196.71096345515,regulatory T cells,#0072B2
58805,3344.97510373444,4332.3443983402485,dendritic cells,#66A61E
58834,3829.4123222748817,4071.3270142180095,dendritic cells,#66A61E
58985,3734.1650793650792,4219.098412698413,M2 macrophages,#66A61E
59008,3099.241877256318,4177.3718411552345,regulatory T cells,#0072B2
59235,3237.689497716895,4262.703196347032,M2 macrophages,#66A61E
59253,3440.8131147540985,4076.7377049180327,regulatory T cells,#0072B2
59262,3207.1388888888887,3828.1203703703695,regulatory T cells,#0072B2
59369,3402.3551020408163,3714.167346938776,regulatory T cells,#0072B2
59375,3099.7419354838707,4090.994623655914,M2 macrophages,#66A61E
59580,3650.872,3699.026666666666,stromal cells,#666666
59584,3890.6111111111113,4000.68253968254,M2 macrophages,#66A61E
59662,3240.49375,3985.78125,regulatory T cells,#0072B2
59687,3447.175925925926,3940.840277777778,regulatory T cells,#0072B2
59777,3197.070588235294,4134.8117647058825,regulatory T cells,#0072B2
59872,3607.074626865672,3669.621890547264,endothelial cells,#666666
59915,3276.2253086419755,4407.138888888889,regulatory T cells,#0072B2
59943,3477.3954802259886,3790.64406779661,CD4+ T cells,#0072B2
59966,3308.747169811321,4170.28679245283,regulatory T cells,#0072B2
60294,3828.727722772277,4358.747524752475,M2 macrophages,#66A61E
60361,3555.553672316384,4044.935028248588,regulatory T cells,#0072B2
60461,3213.28102189781,4336.419708029197,CD4+ T cells,#0072B2
60465,3575.8245614035086,4395.602339181287,CD4+ T cells,#0072B2
60499,3570.2192307692308,3883.584615384616,CD4+ T cells,#0072B2
60601,3280.0670391061453,3944.597765363129,dendritic cells,#66A61E
60684,3541.56043956044,4302.369963369963,dendritic cells,#66A61E
60735,3725.3414634146334,4188.865853658536,CD4+ T cells,#0072B2
60863,3487.429799426934,4238.358166189112,M2 macrophages,#66A61E
60869,3911.184905660378,4155.392452830189,regulatory T cells,#0072B2
60916,3483.830434782609,4312.608695652174,regulatory T cells,#0072B2
61002,3275.5836575875487,4342.84046692607,M2 macrophages,#66A61E
61021,3568.6309523809523,3722.464285714286,endothelial cells,#666666
61070,3170.6163793103447,3954.181034482759,regulatory T cells,#0072B2
61352,3475.868292682927,4431.936585365854,M2 macrophages,#66A61E
61471,3369.976470588236,4000.464705882353,dendritic cells,#66A61E
61531,3861.022471910113,4152.411985018726,CD4+ T cells,#0072B2
61539,3566.875,4114.125,regulatory T cells,#0072B2
61573,3222.6452702702704,4097.577702702703,regulatory T cells,#0072B2
61982,3609.643192488263,4370.657276995305,regulatory T cells,#0072B2
62146,3601.785185185185,4212.537037037037,M2 macrophages,#66A61E
62740,3506.968944099379,4379.211180124224,M2 macrophages,#66A61E
62874,3599.235294117647,4182.745098039216,M2 macrophages,#66A61E
62883,3447.119760479042,3764.6107784431138,M2 macrophages,#66A61E
62902,3444.5164319248825,4436.845070422535,endothelial cells,#666666
62957,3795.444976076555,4083.157894736842,regulatory T cells,#0072B2
63028,3602.3121693121693,4023.772486772487,regulatory T cells,#0072B2
63066,3220.0444444444443,3808.464197530864,regulatory T cells,#0072B2
63229,3097.960960960961,3957.3183183183182,regulatory T cells,#0072B2
63275,3598.7848484848487,4096.121212121212,regulatory T cells,#0072B2
63348,3891.852830188679,4235.479245283019,regulatory T cells,#0072B2
63390,3579.1666666666665,4117.747863247863,regulatory T cells,#0072B2
63426,3513.863453815261,3906.104417670683,CD4+ T cells,#0072B2
63537,3264.436974789916,4061.281512605042,regulatory T cells,#0072B2
63578,3539.938325991189,4067.383259911894,regulatory T cells,#0072B2
63658,3570.194968553459,4460.33962264151,M2 macrophages,#66A61E
63665,3454.031055900621,4419.981366459628,M2 macrophages,#66A61E
63700,3731.980392156863,4389.122549019608,regulatory T cells,#0072B2
63828,3591.282608695652,4167.557971014493,M2 macrophages,#66A61E
63925,3652.7567567567567,3982.665847665848,M2 macrophages,#66A61E
64002,3339.235849056604,4108.512578616353,regulatory T cells,#0072B2
64223,3200.855633802817,4327.7852112676055,regulatory T cells,#0072B2
64266,3309.318604651163,4060.153488372093,regulatory T cells,#0072B2
64326,3184.571917808219,3818.626712328767,regulatory T cells,#0072B2
64354,3519.481707317073,4405.585365853659,regulatory T cells,#0072B2
64448,3475.1526315789474,4119.384210526316,regulatory T cells,#0072B2
64526,3126.818181818182,3901.2363636363634,M2 macrophages,#66A61E
64581,3404.2545045045044,3694.810810810811,regulatory T cells,#0072B2
64700,3657.522388059701,3941.268656716418,dendritic cells,#66A61E
64743,3445.334928229665,4374.363636363636,regulatory T cells,#0072B2
64765,3172.6666666666665,3888.4863387978144,regulatory T cells,#0072B2
64855,3708.277929155314,4246.185286103542,M2 macrophages,#66A61E
64875,3690.375,4315.482954545455,regulatory T cells,#0072B2
64936,3283.2027027027025,4269.878378378378,M2 macrophages,#66A61E
64949,3711.3333333333335,4188.64705882353,dendritic cells,#66A61E
65004,3266.975088967972,3834.2064056939503,regulatory T cells,#0072B2
65009,3454.026119402985,4089.768656716418,regulatory T cells,#0072B2
65084,3866.110294117647,4092.573529411765,CD4+ T cells,#0072B2
65152,3571.4438775510203,4314.418367346939,regulatory T cells,#0072B2
65160,3586.5822222222223,4413.542222222222,regulatory T cells,#0072B2
65295,3463.169014084507,4106.570422535211,regulatory T cells,#0072B2
65306,3674.303448275862,4207.313793103448,B cells,#0072B2
65531,3169.157142857143,4167.504761904762,regulatory T cells,#0072B2
65566,3737.7281553398057,4109.922330097087,regulatory T cells,#0072B2
65683,3313.976851851852,3765.564814814815,regulatory T cells,#0072B2
66094,3548.8831615120275,4277.140893470791,regulatory T cells,#0072B2
66102,3580.28801843318,4219.292626728111,regulatory T cells,#0072B2
66106,3506.361111111112,4410.305555555556,regulatory T cells,#0072B2
66155,3276.84,3806.062857142857,regulatory T cells,#0072B2
66158,3773.795580110497,3740.6795580110497,endothelial cells,#666666
66174,3533.379446640316,3968.300395256917,M2 macrophages,#66A61E
66246,3366.2128514056226,3955.586345381526,regulatory T cells,#0072B2
66284,3437.5078125,4099.58984375,regulatory T cells,#0072B2
66296,3238.843137254902,4053.359477124183,CD4+ T cells,#0072B2
66343,3298.987202925045,3875.043875685557,regulatory T cells,#0072B2
66393,3694.397129186603,4053.578947368421,regulatory T cells,#0072B2
66425,3408.992366412214,4303.618320610687,M2 macrophages,#66A61E
66482,3233.63,4039.31,CD4+ T cells,#0072B2
66492,3365.4312668463613,4035.4393530997295,regulatory T cells,#0072B2
66623,3344.526645768025,3965.673981191223,regulatory T cells,#0072B2
66701,3485.4617940199337,4212.205980066446,regulatory T cells,#0072B2
67006,3291.225,4107.655,dendritic cells,#66A61E
67043,3122.911917098445,4018.7720207253888,B cells,#0072B2
67128,3525.7668711656443,3791.441717791411,stromal cells,#666666
67228,3261.3278688524592,3967.1803278688526,regulatory T cells,#0072B2
67258,3422.018987341772,4082.582278481013,M2 macrophages,#66A61E
67274,3424.3551724137933,3987.037931034483,regulatory T cells,#0072B2
67288,3311.9541984732823,4105.229007633588,regulatory T cells,#0072B2
